"","otu.names","W_stat","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"2","1bfe6883c827ae962725d53d567780fc",8,FALSE,TRUE,TRUE,TRUE
"7","a2666ef0ca6f6790d021f6ce0e29bbe3",8,FALSE,TRUE,TRUE,TRUE
"8","2d61d21c2115f7e04312f2c5808a6d64",8,FALSE,TRUE,TRUE,TRUE
"1","1f063402c40bbcf473c83736a53b4f2d",7,FALSE,FALSE,TRUE,TRUE
"3","3518c430b3f2d2c3844aee6b7d76990a",7,FALSE,FALSE,TRUE,TRUE
"6","89728a516cec30e6a6c3b1e428ca5f40",7,FALSE,FALSE,TRUE,TRUE
"5","7af01543e586d9b4857653641fce1358",6,FALSE,FALSE,FALSE,TRUE
"9","282e267bdd6ae5ab49ffcf3813e354d8",6,FALSE,FALSE,FALSE,TRUE
"10","cb30552860bd1f1a699edf75b5fa878b",6,FALSE,FALSE,FALSE,TRUE
"4","0c5626f1cd28adf1afaeea0741296fb9",5,FALSE,FALSE,FALSE,FALSE
